country,Code,year,gdp_change_%,literacy_rate_%,literacy_change_%
Colombia,COL,2019,3.187,95.24927,0.1648499971238504
Colombia,COL,2020,-7.252,95.63633,0.4063653191252792
Comoros,COM,1980,7.383,47.91923,
Comoros,COM,2000,-0.967,68.48923,42.92639927644917
Comoros,COM,2012,3.168,49.19614,-28.169523879885936
Comoros,COM,2018,3.642,58.81702,19.556168431100485
Comoros,COM,2021,2.112,61.99,5.394662973404651
Congo,COG,1984,2.375,59.61912,
Congo,COG,2005,9.211,76.11479,27.66842247923149
Congo,COG,2011,2.206,79.31117,4.19942037546186
Congo,COG,2018,-2.304,80.29876,1.2452092183232066
Congo,COG,2021,,80.61,0.3876024984694526
Costa Rica,CRI,1984,8.028,92.62904,
Costa Rica,CRI,2000,3.869,94.86819,2.4173304613758217
Costa Rica,CRI,2011,4.403,97.40658,2.6757019397123605
Costa Rica,CRI,2018,2.616,97.86379,0.4693830745315042
Costa Rica,CRI,2021,7.781,98.04,0.180056382447491
Cote d'Ivoire,CIV,1988,1.14,34.13928,
Cote d'Ivoire,CIV,1998,4.931,36.35024,6.476293583227299
Cote d'Ivoire,CIV,2000,-2.068,48.74076,34.086487461980994
Cote d'Ivoire,CIV,2012,10.864,40.98163,-15.919181399715555
Cote d'Ivoire,CIV,2014,8.794,43.90842,7.14171203048779
Cote d'Ivoire,CIV,2019,6.518,89.89342,104.72934348355056
Croatia,HRV,2001,3.11,98.14668,1.4944227884661654
Croatia,HRV,2011,-0.091,99.12536,0.9971605763944291
Croatia,HRV,2021,13.086,99.45,0.32750448522962383
Cyprus,CYP,1992,9.365,94.36247,
Cyprus,CYP,2001,3.952,96.80363,2.5870030744214345
Cyprus,CYP,2011,0.416,98.67843,1.9367042330953987
Cyprus,CYP,2021,6.629,99.36,0.6906980583294642
Democratic Republic of Congo,COD,2001,-2.1,67.17299,
Democratic Republic of Congo,COD,2007,8.53,61.20555,-8.883689709211984
Democratic Republic of Congo,COD,2012,8.669,75.01719,22.565992789869547
Democratic Republic of Congo,COD,2016,0.394,77.04268,2.7000344854292813
Democratic Republic of Congo,COD,2021,,80.02,3.8645073094549565
Dominican Republic,DOM,1981,4.279,73.06457,
Dominican Republic,DOM,2002,4.495,86.99647,19.0679285459423
Dominican Republic,DOM,2007,7.416,88.24446,1.4345294699888322
Dominican Republic,DOM,2010,8.34,89.53873,1.4666869738904742
Dominican Republic,DOM,2011,3.133,90.10638,0.6339714668724961
Dominican Republic,DOM,2012,2.717,90.15518,0.05415820722127762
Dominican Republic,DOM,2013,4.875,90.85815,0.7797333442182586
Dominican Republic,DOM,2014,7.05,91.76376,0.9967295173850754
Dominican Republic,DOM,2015,6.927,91.99121,0.24786473440059353
Dominican Republic,DOM,2016,6.659,93.77846,1.9428486699979208
Dominican Republic,DOM,2021,12.272,95.17,1.4838588733489644
East Timor,TLS,2001,16.348,37.6,
East Timor,TLS,2007,10.262,50.6,34.57446808510638
East Timor,TLS,2010,9.329,58.30898,15.23513833992094
East Timor,TLS,2018,-0.69,68.06683,16.734729367586265
East Timor,TLS,2020,-8.282,69.9,2.6931913826455656
Ecuador,ECU,1982,1.2,83.55269,
Ecuador,ECU,1990,3.008,88.29876,5.680331776271963
Ecuador,ECU,2001,4.016,90.98403,3.0411185842247335
Ecuador,ECU,2007,2.19,92.09679,1.2230278214759194
Ecuador,ECU,2008,6.357,92.39005,0.31842586478856294
Ecuador,ECU,2009,0.566,92.24976,-0.15184535564165547
Ecuador,ECU,2010,3.525,91.85404,-0.42896588565650706
Ecuador,ECU,2011,7.868,91.5869,-0.2908309748814508
Ecuador,ECU,2012,5.642,92.06473,0.5217230848516552
Ecuador,ECU,2013,4.947,93.29463,1.335907898714317
Ecuador,ECU,2014,3.789,94.22264,0.9947089130424747
Ecuador,ECU,2015,0.099,94.45566,0.24730786571041108
Ecuador,ECU,2016,-1.226,94.35023,-0.11161850967956743
Ecuador,ECU,2017,2.368,92.82979,-1.611485207826191
Ecuador,ECU,2020,-7.788,93.6261,0.8578173019673896
Ecuador,ECU,2021,4.235,94.48359,0.9158664090462176
Egypt,EGY,1986,4.759,44.42399,
Egypt,EGY,1996,4.879,55.587,25.128337188982798
Egypt,EGY,2005,4.472,67.33187,21.1288070951841
Egypt,EGY,2006,6.844,66.36991,-1.4286845144802718
Egypt,EGY,2010,5.147,72.04785,8.554991260346734
Egypt,EGY,2012,2.226,73.86559,2.5229621702798966
Egypt,EGY,2013,3.302,72.4425,-1.9265939661485154
Egypt,EGY,2017,4.191,71.16825,-1.7589812610000921
Egypt,EGY,2021,3.253,73.09,2.7002912113196498
El Salvador,SLV,1992,7.021,74.14316,
El Salvador,SLV,2006,4.366,83.55946,12.700160068710332
