country,year,gdp_change_%,lu,lp,lp_%,lpc,lpc_%,ls,lsc,lsc_%,lh,lhc,lhc_%,yr_sch,yr_sch_%,yr_sch_pri,yr_sch_pri_%,yr_sch_sec,yr_sch_sec_%,yr_sch_ter,yr_sch_ter_%,pop,pop_%
Barbados,2000,6.455,0.0,13.4,-26.37362637362637,5.8,-18.309859154929576,85.4,24.9,7.3275862068965525,1.1,0.7,-65.0,9.17,2.1158129175946394,5.76,1.9469026548672552,3.37,4.334365325077405,0.04,-60.00000000000001,142,11.811023622047244
Barbados,2005,7.458,0.0,11.5,-14.179104477611947,5.2,-10.344827586206895,87.4,24.8,-0.40160642570280514,1.1,0.8,14.285714285714302,9.28,1.1995637949836269,5.81,0.868055555555558,3.43,1.7804154302670572,0.04,0.0,150,5.633802816901401
Barbados,2010,-4.9479999999999995,0.0,9.3,-19.130434782608685,4.3,-17.307692307692314,88.4,24.2,-2.4193548387096864,2.3,1.5,87.5,9.44,1.724137931034475,5.85,0.6884681583476882,3.52,2.6239067055393583,0.08,100.0,160,6.666666666666665
Belgium,1980,7.538,3.5,40.1,-20.27833001988071,30.2,-19.03485254691688,43.7,17.3,25.36231884057971,12.8,9.8,36.111111111111114,8.55,7.954545454545459,5.5,0.36496350364962904,2.6,23.222748815165883,0.45,36.36363636363635,4880,3.105852524825692
Belgium,1985,13.974,4.5,31.7,-20.94763092269327,23.4,-22.51655629139073,47.4,20.3,17.34104046242775,16.4,12.2,24.489795918367328,9.07,6.081871345029244,5.48,-0.3636363636363549,3.02,16.15384615384614,0.57,26.66666666666666,5127,5.061475409836058
Belgium,1990,8.766,4.7,23.3,-26.498422712933746,17.2,-26.49572649572649,51.2,23.9,17.73399014778323,20.7,14.9,22.13114754098362,9.74,7.386990077177513,5.53,0.9124087591240837,3.49,15.56291390728477,0.71,24.56140350877194,5280,2.9842012873025237
Belgium,1995,13.004999999999999,4.4,16.7,-28.326180257510735,12.2,-29.06976744186046,54.1,32.3,35.14644351464435,24.8,17.3,16.10738255033557,10.52,8.008213552361386,5.6,1.2658227848101111,4.08,16.905444126074485,0.84,18.309859154929576,5412,2.499999999999991
Belgium,2000,11.133000000000001,3.8,11.7,-29.940119760479046,8.3,-31.967213114754088,55.9,30.8,-4.643962848297201,28.7,19.4,12.1387283236994,10.96,4.1825095057034245,5.67,1.2499999999999956,4.32,5.882352941176472,0.96,14.28571428571428,5520,1.9955654101995624
Belgium,2005,6.977,4.0,10.6,-9.401709401709402,7.1,-14.457831325301218,53.7,35.2,14.285714285714302,31.8,21.5,10.824742268041243,11.3,3.1021897810219023,5.66,-0.17636684303350414,4.57,5.787037037037046,1.07,11.458333333333348,5599,1.4311594202898625
Belgium,2010,7.336,4.2,8.5,-19.811320754716977,5.3,-25.352112676056336,52.5,35.4,0.5681818181818121,34.8,23.6,9.76744186046512,11.55,2.212389380530966,5.65,-0.17667844522968323,4.73,3.5010940919037337,1.17,9.345794392523343,5691,1.6431505626004705
Benin,1980,11.266,89.2,8.3,0.0,3.7,8.823529411764719,2.2,0.8,0.0,0.3,0.2,0.0,0.65,1.5625,0.51,2.0000000000000018,0.13,0.0,0.01,0.0,1189,16.340508806262232
Benin,1985,5.58,84.5,9.9,19.277108433734934,4.7,27.027027027027017,4.9,2.1,162.5,0.7,0.5,150.0,1.12,72.30769230769232,0.78,52.941176470588246,0.31,138.46153846153845,0.02,100.0,1399,17.661900756938607
Benin,1990,24.016000000000002,79.4,11.0,11.111111111111116,5.6,19.14893617021276,8.3,4.4,109.52380952380953,1.3,0.9,80.0,1.67,49.10714285714284,1.07,37.17948717948718,0.55,77.4193548387097,0.04,100.0,1627,16.297355253752688
Benin,1995,24.423000000000002,73.0,13.8,25.454545454545464,7.4,32.14285714285716,11.5,7.6,72.7272727272727,1.6,1.1,22.222222222222232,2.29,37.125748502994014,1.43,33.644859813084096,0.8,45.45454545454546,0.05,25.0,1981,21.7578365089121
Benin,2000,23.708,67.5,17.0,23.188405797101442,9.5,28.37837837837838,13.1,9.3,22.368421052631593,2.4,1.6,45.45454545454546,2.77,20.960698689956338,1.72,20.279720279720294,0.97,21.249999999999993,0.08,59.999999999999986,2303,16.254416961130747
